fecha,elap,co2,temp,humedad
2021-06-01 20:03:13.458131,324.6758472919464,622,18,43
2021-06-01 20:03:15.534997,326.75271439552307,622,18,43
2021-06-01 20:03:17.615819,328.8335371017456,622,18,43
2021-06-01 20:03:20.196566,331.4142816066742,622,18,43
2021-06-01 20:03:22.277488,333.4952027797699,622,18,43
2021-06-01 20:03:24.354479,335.57219314575195,622,18,43
2021-06-01 20:03:26.435320,337.653037071228,622,18,43
2021-06-01 20:03:28.512028,339.7297465801239,622,18,43
2021-06-01 20:03:30.593185,341.81090021133423,622,18,43
2021-06-01 20:03:33.173669,344.3913860321045,622,18,43
2021-06-01 20:03:35.250516,346.4682331085205,621,18,43
2021-06-01 20:03:37.331460,348.5491774082184,621,18,43
2021-06-01 20:03:39.412382,350.63010025024414,621,18,43
2021-06-01 20:03:41.489383,352.70710015296936,621,18,43
2021-06-01 20:03:43.570107,354.78782510757446,621,18,43
2021-06-01 20:03:45.646977,356.86469554901123,620,18,43
2021-06-01 20:03:48.227889,359.4456059932709,620,18,43
2021-06-01 20:03:50.308676,361.52639269828796,620,18,43
2021-06-01 20:03:52.385673,363.60338830947876,620,18,43
2021-06-01 20:03:54.466425,365.6841423511505,620,18,43
2021-06-01 20:03:56.547357,367.76507449150085,620,18,43
2021-06-01 20:03:58.624264,369.84198212623596,620,18,43
2021-06-01 20:04:01.205003,372.4227182865143,620,18,43
2021-06-01 20:04:03.285849,374.5035672187805,620,18,43
2021-06-01 20:04:05.362812,376.58052945137024,620,18,43
2021-06-01 20:04:07.443623,378.66134119033813,621,18,43
2021-06-01 20:04:09.520603,380.7383186817169,621,18,43
2021-06-01 20:04:11.601481,382.8191964626312,620,18,43
2021-06-01 20:04:13.682348,384.90006399154663,620,18,43
2021-06-01 20:04:16.263155,387.4808702468872,620,18,43
2021-06-01 20:04:18.339868,389.55758690834045,619,18,43
2021-06-01 20:04:20.421101,391.6388111114502,620,18,43
2021-06-01 20:04:22.501877,393.7195928096771,619,18,43
2021-06-01 20:04:24.578731,395.7964470386505,619,18,43
2021-06-01 20:04:26.659669,397.87738370895386,619,18,43
2021-06-01 20:04:29.240195,400.45791363716125,619,18,43
2021-06-01 20:04:31.317346,402.5350615978241,619,18,43
